064;UNILEVER;ASEO HOGAR;DETERGENTE;84154019;7702191000298;PURO;DETERGENTE;HORTENSIAS ;LIQUIDO;300ml;;2212,12;1;2212,12;;;2654,54
057;UNILEVER;ASEO HOGAR;DETERGENTE;84161969;7861001349054;PURO;DETERGENTE;HORTENSIAS ;POLVO;450g;;2583,1;3;7749,31;;;3099,72
062;UNILEVER;ASEO HOGAR;DETERGENTE;84161964;7702191661222;PURO;DETERGENTE;ROSAS Y LILAS;POLVO;1,5kg;;7473,92;1;7473,92;;;8968,7
056;UNILEVER;ASEO HOGAR;DETERGENTE;84161962;7861001349016;PURO;DETERGENTE;ROSAS Y LILAS;POLVO;450g;;2583,1;3;7749,31;;;3099,72
054;UNILEVER;ASEO HOGAR;JABON;576531;7702191658901;FAB;JABON;MULTIUSOS;BARRA;300g;;1494,16;3;4482,49;;;1800
046;UNILEVER;ASEO HOGAR;JABON;84163586;7702191662663;PURO;JABON;HORTENSIAS ;BARRA;3x220g;;2947,94;1;2947,94;;;3500
045;UNILEVER;ASEO HOGAR;JABON;84163588;7702191662687;VEL ROSITA;JABON;CUIDADO;BARRA;3x220g;;5480,45;1;5480,45;;;6600
102;UNILEVER;ASEO PERSONAL;ACONDICIONADOR;566281;;DOVE;ACONDICIONADOR;RECONSTRUCCION  COMP;SACHETS;20x12ml;;#N/D;1;#N/D;;;#N/D
100;UNILEVER;ASEO PERSONAL;ACONDICIONADOR;579422;7791293003801;SEDAL;ACONDICIONADOR;CERAMIDAS;BOTELLA;350ml;;9749,8;1;9749,8;;;11750
103;UNILEVER;ASEO PERSONAL;ACONDICIONADOR;84151915;7702006000147;SEDAL;ACONDICIONADOR;KERATINA + ANTIOXIDANTES;SACHETS;20x18ml;;7399,64;1;7399,64;;;10000
101;UNILEVER;ASEO PERSONAL;ACONDICIONADOR;84151513;7506306233232;SEDAL;ACONDICIONADOR;KERATINA + ANTIOXIDANTES;BOTELA;350ml;;9749,8;1;9749,8;;;11750
099;UNILEVER;ASEO PERSONAL;ACONDICIONADOR;84153553;7506306226302;TRESEMME;ACONDICIONADOR;BLINDAJE  PLATINUM;BOTELLA;400ml;;12792,48;1;12792,48;;;14900
026;UNILEVER;ASEO PERSONAL;ACONDICIONADOR;84151912;7702006000116;TRESEMME;ACONDICIONADOR;BLINDAJE PLATINUM;SACHETS;20x15ml;;7399,64;1;7399,64;;;10000
096;UNILEVER;ASEO PERSONAL;CREMA CARA;124451;7501056330293;POND´S;CREMA;ACLARADORA PIEL GRASA;POTE;50g;;11161,52;1;11161,52;;;14500
095;UNILEVER;ASEO PERSONAL;CREMA CARA;576943;7702006920605;POND´S;CREMA;ACLARADORA PIEL SECA;SACHETS;10x10g;;11018,84;1;11018,84;;;14300
094;UNILEVER;ASEO PERSONAL;CREMA CARA;124452;7501056330255;POND´S;CREMA;ACLARADORA PIEL SECA;POTE;50g;;11161,52;1;11161,52;;;14500
093;UNILEVER;ASEO PERSONAL;CREMA CARA;594480;7501056325442;POND´S;CREMA;HUMECTANTE;POTE;50g;;9280;1;9280;;;12100
086;UNILEVER;ASEO PERSONAL;CREMA CARA;576947;7702006920742;POND´S;CREMA;REJUVENESS;SACHETS;10x10g;;11018,84;1;11018,84;;;14300
087;UNILEVER;ASEO PERSONAL;CREMA CARA;124542;7501056330484;POND´S;CREMA;REJUVENESS;POTE;50g;;15999,88;1;15999,88;;;20800
091;UNILEVER;ASEO PERSONAL;CREMA CARA;84151916;7702006000154;SEDAL;CREMA PEINAR;KERATINA + ANTIOXIDANTES;COJIN;20x18ml;;7399,64;1;7399,64;;;10000
089;UNILEVER;ASEO PERSONAL;CREMA CARA;84151514;7506306233249;SEDAL;CREMA  PEINAR;KERATINA + ANTIOXIDANTES;CREMA;300ml;;8609,52;1;8609,52;;;10500
090;UNILEVER;ASEO PERSONAL;CREMA CARA;84153305;7702006000406;SEDAL;CREMA PEINAR;RIZOS OBEDIENTES;SACHETS;20x18ml;;7399,64;1;7399,64;;;10000
092;UNILEVER;ASEO PERSONAL;CREMA CARA;927220;7702006923194;SEDAL;CREMA PEINAR;RIZOS OBEDIENTES;BOTELLA;2x300ml;Oferta Especial;15334,04;1;15334,04;;X;10500
078;UNILEVER;ASEO PERSONAL;DESODORANTE;84151548;7506306233355;AXE;DESODORANTE;ADRENALINE;AEROSOL;90g;;14500;1;14500;;;14500
083;UNILEVER;ASEO PERSONAL;DESODORANTE;84155564;7702006001014;AXE;DESODORANTE;DARK TEMPTATION;AEROSOL;2x90g;;20581,88;1;20581,88;;;25100
084;UNILEVER;ASEO PERSONAL;DESODORANTE;84155507;7702006000994;AXE;DESODORANTE;DARK TEMPTATION;AEROSOL;2x90g;;20581,88;1;20581,88;;;25100
071;UNILEVER;ASEO PERSONAL;DESODORANTE;586699;7791293995779;AXE;DESODORANTE;DARK TEMPTATION;AEROSOL;90g;;12127,8;1;12127,8;;;14500
077;UNILEVER;ASEO PERSONAL;DESODORANTE;84151549;7506306233362;AXE;DESODORANTE;URBAN;AEROSOL;90g;;14500;1;14500;;;14500
080;UNILEVER;ASEO PERSONAL;DESODORANTE;578085;78931640;DOVE;DESODORANTE;CLEAN COMFORT;ROLLON ;30ml;;2500;3;7500;;;2500
076;UNILEVER;ASEO PERSONAL;DESODORANTE;579213;7791293998619;DOVE;DESODORANTE;DERMOACLARANT;AEROSOL;100g;;17100;1;17100;;;17100
082;UNILEVER;ASEO PERSONAL;DESODORANTE;84162835;7702006400275;DOVE;DESODORANTE;DERMOACLARANT;AEROSOL;2x100g;Super Oferta;28300;1;28300;;X;28300
079;UNILEVER;ASEO PERSONAL;DESODORANTE;579308;75034238;DOVE;DESODORANTE;DERMOACLARANT;BARRA;50g;;16150;1;16150;;;16150
